,Controls.keys,Controls.rt,Points scored this round,Score,Method of Scoring,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,PROLIFIC_PID,UUID,frameRate
3,"[""down"",""left"",""left"",""left"",""left"",""left""]","[1.3686649999999645,1.7682099999999465,2.968689999999917,3.531874999999893,3.800410000000049,4.601434999999803]",25,22,captured pig,3,0,3,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
4,"[""left"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]","[0.4633699999999408,0.7512150000002293,1.0793200000002798,1.3293149999999514,1.8259299999999712,2.0633350000002793,2.629159999999956,2.9992050000000745,3.3592900000003283,3.78349500000013,4.863400000000183,6.263220000000274,6.7512799999999515,7.152164999999968]",25,35,captured pig,4,0,4,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
5,"[""down"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left""]","[0.8002050000000054,1.1522449999997662,1.400304999999662,1.9868399999995745,2.384284999999636,3.3168149999996785,3.9198449999998957,5.016319999999723,5.416764999999941,5.598529999999755,5.7967499999999745,7.113454999999703]",25,50,captured pig,5,0,5,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
6,"[""left"",""left"",""left"",""left"",""left""]","[0.8151849999999286,2.0180199999999786,3.951445000000149,4.150790000000143,4.334409999999934]",25,72,captured pig,6,0,6,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
8,"[""right"",""down"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""down"",""left"",""left"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left""]","[1.0013199999998506,1.6883249999996224,1.7815550000000258,2.064534999999978,2.248569999999745,2.6485899999997855,2.864559999999983,3.048569999999927,3.248474999999871,3.472319999999854,3.7944949999996425,4.031099999999697,4.248389999999745,4.4646349999998165,4.696324999999888,4.984285,5.178014999999959,5.381039999999757,5.800304999999753,6.152614999999969,6.68109000000004,7.016470000000027,7.4153949999999895,7.6810599999998885,7.920110000000022,8.139749999999822,8.314359999999851,8.496354999999767,9.04756499999985,9.304525000000012]",5,52,Exited through black block,8,0,8,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
9,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left""]","[1.0686250000003383,1.341385000000173,1.7893200000003162,4.437214999999924,5.437420000000202,5.957395000000361,6.405275000000074,7.037325000000237,8.851580000000013,9.968229999999949,10.581575000000157]",25,69,captured pig,9,0,9,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
10,"[""down"",""right"",""right"",""down"",""left"",""left"",""left"",""left"",""left""]","[0.7484550000003765,1.1653150000001915,1.3818500000002132,1.6986799999999675,2.1189650000001166,2.318210000000363,2.501220000000103,2.6814900000003945,2.871454999999969]",25,87,captured pig,10,0,10,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
11,"[""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""left"",""left"",""up"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""down"",""down""]","[0.7168599999999969,1.1315150000000358,1.6290650000000824,1.8485650000002352,2.0367949999999837,2.2652400000001762,3.248004999999921,3.5887900000002446,3.7970900000000256,3.9988750000002256,4.248175000000174,4.464954999999918,4.645269999999982,4.931919999999991,5.12829499999998,6.665274999999838,6.895465000000058,7.204720000000179,7.431630000000041,7.664755000000241,8.717075000000023,13.982800000000225,14.431704999999965,14.91668000000027,15.700655000000097,20.217709999999897,21.015150000000176,21.312594999999874,23.061604999999872,23.516685000000052,24.148149999999987,24.420550000000276,24.804599999999937,25.06728000000021,25.3281649999999,25.532540000000154]",0,62,No points scored,11,0,11,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
12,"[""left"",""left"",""down"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down""]","[0.6352499999998145,1.035135000000082,1.3183549999998831,1.8378099999999904,2.7183799999997973,3.7415799999998853,3.925844999999754,4.301300000000083,4.73515499999985,4.925635000000057,5.102039999999761,5.284764999999879,5.805849999999737]",25,76,captured pig,12,0,12,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
13,"[""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""right"",""right"",""up""]","[0.7190900000000511,1.0549899999996342,1.431775000000016,2.118779999999788,3.8708349999997154,4.615114999999605,5.1670500000000175,6.214764999999716,7.384189999999762,8.631744999999682,9.654994999999872,13.151605000000018,14.13130000000001,14.318649999999707,14.486614999999802,14.69843499999979,15.164414999999735,15.433004999999866,15.934690000000046,16.28323999999975,16.670669999999973,17.281344999999874,17.584254999999757,18.078619999999773,18.381099999999606,18.697549999999865,19.031634999999824,19.66464999999971,19.854739999999765,20.098199999999906,20.30274499999996,20.59863499999983,20.84832499999993,21.070455000000038,21.49795499999982,21.718684999999823,21.91867000000002,22.30247499999996]",0,51,No points scored,13,0,13,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
14,"[""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""down"",""down"",""left"",""down"",""down"",""down"",""left"",""left""]","[0.5044050000001334,0.7187300000000505,1.2058000000001812,1.4082600000001548,1.808350000000246,2.2514500000002045,2.8401700000003984,3.0819150000002082,3.272200000000339,3.469850000000406,3.6678400000000693,3.9017499999999927,4.737285000000156,6.224175000000287,6.488095000000158,7.644745000000057,7.840170000000398,9.051605000000109,10.015485000000353,10.856360000000222,11.531500000000051,11.868170000000191,12.198595000000296,12.45185500000025,13.134530000000268,13.501600000000053,14.04760000000033,14.256090000000313,14.481690000000071,14.736125000000357,15.185260000000198,15.42414000000008,16.00175500000023,16.314750000000004,17.640020000000277,18.168115000000398,18.448305000000346,18.901050000000396,19.11998500000027,19.67405000000008,20.103935000000092,20.320160000000214,20.55121500000041,20.793885000000046,20.9999600000001]",0,26,No points scored,14,0,14,0,1,4497000649566513766,,SymbolicViewB,2020.1.3,Win32,147224001201419782,5620378777925018471,60
